"Ranking","County","Adherents","Percent"
458,"Holmes County, Florida",8030,40.30
903,"Holmes County, Mississippi",5261,27.40
72,"Holmes County, Ohio",25994,61.36
516,"Holt County, Missouri",1871,38.09
1115,"Holt County, Nebraska",2338,22.41
1843,"Honolulu County, Hawaii",92310,9.68
593,"Hood County, Texas",18218,35.59
1723,"Hood River County, Oregon",2545,11.39
1297,"Hooker County, Nebraska",136,18.48
1870,"Hoonah-Angoon Census Area, Alaska",198,9.21
617,"Hopewell city, Virginia",7875,34.86
357,"Hopkins County, Kentucky",20539,43.77
395,"Hopkins County, Texas",14942,42.50
1091,"Horry County, South Carolina",61718,22.92
504,"Hot Spring County, Arkansas",12736,38.68
1660,"Hot Springs County, Wyoming",592,12.30
1954,"Houghton County, Michigan",2841,7.76
80,"Houston County, Alabama",60486,59.56
696,"Houston County, Georgia",45802,32.74
1505,"Houston County, Minnesota",2803,14.73
913,"Houston County, Tennessee",2292,27.20
663,"Houston County, Texas",7982,33.63
467,"Howard County, Arkansas",5521,40.04
787,"Howard County, Indiana",25100,30.33
1714,"Howard County, Iowa",1104,11.54
1707,"Howard County, Maryland",33403,11.64
1141,"Howard County, Missouri",2224,21.92
1384,"Howard County, Nebraska",1063,16.94
575,"Howard County, Texas",12589,35.96
674,"Howell County, Missouri",13507,33.43
1597,"Hubbard County, Minnesota",2703,13.23
2192,"Hudson County, New Jersey",19890,3.14
1966,"Hudspeth County, Texas",262,7.54
1921,"Huerfano County, Colorado",556,8.28
282,"Hughes County, Oklahoma",6590,47.06
931,"Hughes County, South Dakota",4545,26.70
1997,"Humboldt County, California",9256,6.88
1337,"Humboldt County, Iowa",1741,17.74
1916,"Humboldt County, Nevada",1379,8.34
930,"Humphreys County, Mississippi",2504,26.71
312,"Humphreys County, Tennessee",8494,45.82
479,"Hunt County, Texas",34158,39.66
2190,"Hunterdon County, New Jersey",4222,3.29
1567,"Huntingdon County, Pennsylvania",6310,13.74
1054,"Huntington County, Indiana",8822,23.76
1144,"Huron County, Michigan",7250,21.89
1807,"Huron County, Ohio",6079,10.20
104,"Hutchinson County, South Dakota",4194,57.12
117,"Hutchinson County, Texas",12412,56.04
2062,"Hyde County, North Carolina",334,5.75
1678,"Hyde County, South Dakota",171,12.04
1740,"Iberia Parish, Louisiana",8188,11.18
587,"Iberville Parish, Louisiana",11916,35.69
854,"Ida County, Iowa",2029,28.62
1772,"Idaho County, Idaho",1732,10.65
1980,"Imperial County, California",12707,7.28
284,"Independence County, Arkansas",17227,47.01
1801,"Indian River County, Florida",14161,10.26
1672,"Indiana County, Pennsylvania",10777,12.13
1713,"Ingham County, Michigan",32440,11.55
1936,"Inyo County, California",1494,8.06
1856,"Ionia County, Michigan",6029,9.43
1441,"Iosco County, Michigan",4108,15.87
948,"Iowa County, Iowa",4297,26.27
2204,"Iowa County, Wisconsin",694,2.93
875,"Iredell County, North Carolina",44803,28.10
942,"Irion County, Texas",423,26.45
2099,"Iron County, Michigan",612,5.18
522,"Iron County, Missouri",4031,37.92
2199,"Iron County, Utah",1384,3.00
2014,"Iron County, Wisconsin",388,6.56
1034,"Iroquois County, Illinois",7176,24.15
601,"Irwin County, Georgia",3375,35.38
1886,"Isabella County, Michigan",6296,8.95
2023,"Isanti County, Minnesota",2440,6.45
1848,"Island County, Washington",7546,9.61
1395,"Isle of Wight County, Virginia",5901,16.73
1834,"Issaquena County, Mississippi",138,9.82
1525,"Itasca County, Minnesota",6482,14.39
739,"Itawamba County, Mississippi",7398,31.61
433,"Izard County, Arkansas",5653,41.27
544,"Jack County, Texas",3355,37.10
321,"Jackson County, Alabama",24116,45.31
269,"Jackson County, Arkansas",8559,47.56
1833,"Jackson County, Colorado",137,9.83
709,"Jackson County, Florida",16156,32.48
832,"Jackson County, Georgia",17630,29.15
1068,"Jackson County, Illinois",14130,23.46
461,"Jackson County, Indiana",17044,40.22
2263,"Jackson County, Iowa",250,1.26
1613,"Jackson County, Kansas",1753,13.02
1061,"Jackson County, Kentucky",3193,23.66
1780,"Jackson County, Michigan",16909,10.55
1102,"Jackson County, Minnesota",2338,22.77
802,"Jackson County, Mississippi",41796,29.93
1093,"Jackson County, Missouri",154390,22.90
655,"Jackson County, North Carolina",13660,33.92
1541,"Jackson County, Ohio",4711,14.18
541,"Jackson County, Oklahoma",9845,37.23
1631,"Jackson County, Oregon",25890,12.74
1989,"Jackson County, South Dakota",213,7.03
957,"Jackson County, Tennessee",3031,26.04
645,"Jackson County, Texas",4807,34.15
1601,"Jackson County, West Virginia",3851,13.18
1506,"Jackson County, Wisconsin",3008,14.71
145,"Jackson Parish, Louisiana",8815,54.17
1944,"James City County, Virginia",5322,7.94
1088,"Jasper County, Georgia",3197,23.00
1341,"Jasper County, Illinois",1710,17.63
1403,"Jasper County, Indiana",5554,16.59
1550,"Jasper County, Iowa",5173,14.04
687,"Jasper County, Mississippi",5637,33.04
385,"Jasper County, Missouri",50313,42.85
1456,"Jasper County, South Carolina",3877,15.65
199,"Jasper County, Texas",18118,50.74
1463,"Jay County, Indiana",3293,15.49
342,"Jeff Davis County, Georgia",6679,44.33
1193,"Jeff Davis County, Texas",485,20.71
288,"Jefferson County, Alabama",308984,46.92
618,"Jefferson County, Arkansas",26985,34.85
1621,"Jefferson County, Colorado",68794,12.87
842,"Jefferson County, Florida",4269,28.92
644,"Jefferson County, Georgia",5786,34.18
2271,"Jefferson County, Idaho",213,0.81
342,"Jefferson County, Illinois",17212,44.33
1354,"Jefferson County, Indiana",5658,17.45
1808,"Jefferson County, Iowa",1716,10.19
1521,"Jefferson County, Kansas",2770,14.48
1026,"Jefferson County, Kentucky",180149,24.31
1823,"Jefferson County, Mississippi",773,10.01
1290,"Jefferson County, Missouri",40846,18.67
2024,"Jefferson County, Montana",735,6.44
991,"Jefferson County, Nebraska",1905,25.24
2147,"Jefferson County, New York",4888,4.21
1942,"Jefferson County, Ohio",5548,7.96
17,"Jefferson County, Oklahoma",4951,76.50
1481,"Jefferson County, Oregon",3294,15.17
1687,"Jefferson County, Pennsylvania",5379,11.90
403,"Jefferson County, Tennessee",21703,42.22
795,"Jefferson County, Texas",76088,30.16
1871,"Jefferson County, Washington",2747,9.20
1890,"Jefferson County, West Virginia",4756,8.89
951,"Jefferson County, Wisconsin",21916,26.19
840,"Jefferson Davis County, Mississippi",3617,28.97
1261,"Jefferson Davis Parish, Louisiana",6078,19.24
1596,"Jefferson Parish, Louisiana",57266,13.24
306,"Jenkins County, Georgia",3838,46.02
1391,"Jennings County, Indiana",4793,16.80
1722,"Jerauld County, South Dakota",236,11.40
2022,"Jerome County, Idaho",1445,6.46
1771,"Jersey County, Illinois",2453,10.67
1448,"Jessamine County, Kentucky",7679,15.80
1227,"Jewell County, Kansas",612,19.89
2042,"Jim Hogg County, Texas",326,6.15
1284,"Jim Wells County, Texas",7660,18.76
2149,"Jo Daviess County, Illinois",951,4.19
513,"Johnson County, Arkansas",9764,38.23
647,"Johnson County, Georgia",3399,34.06
841,"Johnson County, Illinois",3643,28.95
822,"Johnson County, Indiana",41166,29.48
1951,"Johnson County, Iowa",10223,7.81
1306,"Johnson County, Kansas",99699,18.32
1172,"Johnson County, Kentucky",4977,21.31
970,"Johnson County, Missouri",13562,25.79
1016,"Johnson County, Nebraska",1281,24.55
332,"Johnson County, Tennessee",8183,44.85
549,"Johnson County, Texas",55674,36.89
1518,"Johnson County, Wyoming",1243,14.51
1019,"Johnston County, North Carolina",41366,24.49
121,"Johnston County, Oklahoma",6093,55.61
1000,"Jones County, Georgia",7173,25.02
2081,"Jones County, Iowa",1122,5.44
178,"Jones County, Mississippi",35353,52.17
1320,"Jones County, North Carolina",1836,18.08
1114,"Jones County, South Dakota",226,22.47
657,"Jones County, Texas",6838,33.85
1606,"Josephine County, Oregon",10843,13.11
2200,"Judith Basin County, Montana",62,2.99
1872,"Juneau City and Borough, Alaska",2867,9.17
1610,"Juneau County, Wisconsin",3480,13.05
1500,"Juniata County, Pennsylvania",3645,14.80
1502,"Kalamazoo County, Michigan",37002,14.78
2285,"Kalawao County, Hawaii",,
1782,"Kalkaska County, Michigan",1805,10.52
1676,"Kanabec County, Minnesota",1960,12.07
1428,"Kanawha County, West Virginia",31202,16.16
1192,"Kandiyohi County, Minnesota",8753,20.72
1832,"Kane County, Illinois",50728,9.84
2200,"Kane County, Utah",213,2.99
1524,"Kankakee County, Illinois",16364,14.42
1279,"Karnes County, Texas",2797,18.87
1907,"Kauai County, Hawaii",5725,8.53
639,"Kaufman County, Texas",35395,34.25
640,"Kay County, Oklahoma",15936,34.23
1195,"Kearney County, Nebraska",1341,20.67
1356,"Kearny County, Kansas",693,17.43
879,"Keith County, Nebraska",2346,28.04
1386,"Kemper County, Mississippi",1769,16.92
1352,"Kenai Peninsula Borough, Alaska",9688,17.49
2066,"Kendall County, Illinois",6500,5.67
1424,"Kendall County, Texas",5424,16.23
2285,"Kenedy County, Texas",,
2120,"Kennebec County, Maine",5829,4.77
1877,"Kenosha County, Wisconsin",15183,9.12
1867,"Kent County, Delaware",14992,9.24
1884,"Kent County, Maryland",1814,8.98
1068,"Kent County, Michigan",141345,23.46
2234,"Kent County, Rhode Island",3786,2.28
14,"Kent County, Texas",630,77.97
1530,"Kenton County, Kentucky",22877,14.32
2208,"Keokuk County, Iowa",303,2.88
1573,"Kern County, California",114724,13.66
986,"Kerr County, Texas",12582,25.35
581,"Kershaw County, South Carolina",22139,35.88
1538,"Ketchikan Gateway Borough, Alaska",1917,14.22
1445,"Kewaunee County, Wisconsin",3257,15.83
2284,"Keweenaw County, Michigan",0,0.00
549,"Keya Paha County, Nebraska",304,36.89
1170,"Kidder County, North Dakota",520,21.36
1774,"Kimball County, Nebraska",406,10.63
514,"Kimble County, Texas",1759,38.18
1043,"King and Queen County, Virginia",1667,24.00
5,"King County, Texas",257,89.86
1777,"King County, Washington",204523,10.59
1217,"King George County, Virginia",4743,20.11
976,"King William County, Virginia",4086,25.64
473,"Kingfisher County, Oklahoma",5986,39.82
1786,"Kingman County, Kansas",823,10.47
2015,"Kings County, California",10014,6.55
2094,"Kings County, New York",131374,5.25
1950,"Kingsbury County, South Dakota",403,7.83
1304,"Kinney County, Texas",660,18.34
4,"Kiowa County, Colorado",1356,97.00
491,"Kiowa County, Kansas",997,39.05
47,"Kiowa County, Oklahoma",6160,65.21
1105,"Kit Carson County, Colorado",1879,22.72
1593,"Kitsap County, Washington",33373,13.29
1914,"Kittitas County, Washington",3427,8.38
1243,"Kittson County, Minnesota",889,19.53
1683,"Klamath County, Oregon",7945,11.97
1502,"Kleberg County, Texas",4739,14.78
1826,"Klickitat County, Washington",2026,9.97
1203,"Knott County, Kentucky",3332,20.38
1832,"Knox County, Illinois",5208,9.84
1350,"Knox County, Indiana",6735,17.52
259,"Knox County, Kentucky",15334,48.09
2131,"Knox County, Maine",1813,4.56
642,"Knox County, Missouri",1413,34.20
1591,"Knox County, Nebraska",1158,13.31
1160,"Knox County, Ohio",13143,21.57
394,"Knox County, Tennessee",183754,42.51
103,"Knox County, Texas",2129,57.25
1877,"Kodiak Island Borough, Alaska",1239,9.12
1860,"Koochiching County, Minnesota",1246,9.36
355,"Kootenai County, Idaho",60657,43.80
1199,"Kosciusko County, Indiana",15830,20.46
1242,"Kossuth County, Iowa",3044,19.58
1507,"La Crosse County, Wisconsin",16848,14.70
1732,"La Paz County, Arizona",2314,11.29
1966,"La Plata County, Colorado",3871,7.54
1934,"La Salle County, Texas",557,8.09
124,"La Salle Parish, Louisiana",8242,55.35
1130,"Labette County, Kansas",4780,22.12
1176,"Lac qui Parle County, Minnesota",1542,21.24
2102,"Lackawanna County, Pennsylvania",11047,5.15
456,"Laclede County, Missouri",14411,40.51
703,"Lafayette County, Arkansas",2495,32.64
682,"Lafayette County, Florida",2953,33.29
1250,"Lafayette County, Mississippi",9194,19.42
515,"Lafayette County, Missouri",12733,38.14
2046,"Lafayette County, Wisconsin",1028,6.11
1481,"Lafayette Parish, Louisiana",33609,15.17
2027,"Lafourche Parish, Louisiana",6152,6.39
254,"LaGrange County, Indiana",17931,48.30
1919,"Lake County, California",5373,8.31
2108,"Lake County, Colorado",369,5.05
1318,"Lake County, Florida",53875,18.14
1680,"Lake County, Illinois",84501,12.01
1229,"Lake County, Indiana",98213,19.80
1976,"Lake County, Michigan",848,7.35
1838,"Lake County, Minnesota",1060,9.76
1849,"Lake County, Montana",2757,9.59
2001,"Lake County, Ohio",15598,6.78
1965,"Lake County, Oregon",597,7.56
1604,"Lake County, South Dakota",1472,13.14
424,"Lake County, Tennessee",3246,41.45
1891,"Lake of the Woods County, Minnesota",359,8.88
73,"Lamar County, Alabama",8902,61.12
226,"Lamar County, Georgia",9159,50.00
279,"Lamar County, Mississippi",26271,47.20
397,"Lamar County, Texas",21146,42.47
125,"Lamb County, Texas",7721,55.24
2166,"Lamoille County, Vermont",939,3.84
871,"LaMoure County, North Dakota",1165,28.15
926,"Lampasas County, Texas",5267,26.77
1589,"Lancaster County, Nebraska",38042,13.33
1060,"Lancaster County, Pennsylvania",122957,23.67
623,"Lancaster County, South Carolina",26632,34.74
897,"Lancaster County, Virginia",3146,27.62
1262,"Lander County, Nevada",1108,19.19
1619,"Lane County, Kansas",226,12.91
1843,"Lane County, Oregon",34051,9.68
1226,"Langlade County, Wisconsin",3976,19.90
905,"Lanier County, Georgia",2758,27.37
1810,"Lapeer County, Michigan",8972,10.16
1734,"LaPorte County, Indiana",12556,11.26
1693,"Laramie County, Wyoming",10835,11.81
1282,"Larimer County, Colorado",56390,18.82
271,"Larue County, Kentucky",6740,47.49
1899,"Las Animas County, Colorado",1343,8.66
1918,"LaSalle County, Illinois",9475,8.32
1894,"Lassen County, California",3082,8.83
2002,"Latah County, Idaho",2522,6.77
55,"Latimer County, Oklahoma",7110,63.74
346,"Lauderdale County, Alabama",40963,44.18
291,"Lauderdale County, Mississippi",37626,46.88
604,"Lauderdale County, Tennessee",9791,35.20
493,"Laurel County, Kentucky",22963,39.02
358,"Laurens County, Georgia",21192,43.75
339,"Laurens County, South Carolina",29530,44.38
1102,"Lavaca County, Texas",4387,22.77
315,"Lawrence County, Alabama",15711,45.75
300,"Lawrence County, Arkansas",8078,46.39
1229,"Lawrence County, Illinois",3333,19.80
969,"Lawrence County, Indiana",11910,25.82
1017,"Lawrence County, Kentucky",3892,24.54
118,"Lawrence County, Mississippi",7240,56.00
351,"Lawrence County, Missouri",16970,43.93
1571,"Lawrence County, Ohio",8556,13.70
1620,"Lawrence County, Pennsylvania",11739,12.88
1208,"Lawrence County, South Dakota",4900,20.33
215,"Lawrence County, Tennessee",21055,50.29
204,"Le Flore County, Oklahoma",25481,50.57
1925,"Le Sueur County, Minnesota",2276,8.22
673,"Lea County, New Mexico",21652,33.45
391,"Leake County, Mississippi",10164,42.70
1790,"Leavenworth County, Kansas",7953,10.43
1794,"Lebanon County, Pennsylvania",13839,10.36
1164,"Lee County, Alabama",30090,21.46
997,"Lee County, Arkansas",2618,25.12
1529,"Lee County, Florida",88687,14.33
806,"Lee County, Georgia",8436,29.81
1835,"Lee County, Illinois",3528,9.79
1714,"Lee County, Iowa",4137,11.54
1153,"Lee County, Kentucky",1714,21.73
384,"Lee County, Mississippi",35538,42.86
968,"Lee County, North Carolina",14945,25.83
1640,"Lee County, South Carolina",2421,12.60
396,"Lee County, Texas",7058,42.49
310,"Lee County, Virginia",11735,45.86
2159,"Leelanau County, Michigan",864,3.98
729,"Leflore County, Mississippi",10337,31.99
2058,"Lehigh County, Pennsylvania",20644,5.91
1342,"Lemhi County, Idaho",1398,17.62
1490,"Lenawee County, Michigan",14941,14.96
653,"Lenoir County, North Carolina",20198,33.95
1097,"Leon County, Florida",62953,22.85
524,"Leon County, Texas",6365,37.88
1037,"Leslie County, Kentucky",2724,24.08
1175,"Letcher County, Kentucky",5210,21.25
650,"Levy County, Florida",13870,33.99
1708,"Lewis and Clark County, Montana",7372,11.63
1489,"Lewis County, Idaho",572,14.97
1151,"Lewis County, Kentucky",3018,21.76
434,"Lewis County, Missouri",4213,41.26
1827,"Lewis County, New York",2693,9.94
599,"Lewis County, Tennessee",4315,35.48
1443,"Lewis County, Washington",11961,15.85
2090,"Lewis County, West Virginia",866,5.29
646,"Lexington city, Virginia",2400,34.08
967,"Lexington County, South Carolina",67801,25.84
891,"Liberty County, Florida",2322,27.76
1305,"Liberty County, Georgia",11631,18.33
1258,"Liberty County, Montana",452,19.32
561,"Liberty County, Texas",27605,36.49
1604,"Licking County, Ohio",21879,13.14
452,"Limestone County, Alabama",33582,40.57
527,"Limestone County, Texas",8830,37.76
935,"Lincoln County, Arkansas",3763,26.62
1620,"Lincoln County, Colorado",704,12.88
859,"Lincoln County, Georgia",2277,28.48
2165,"Lincoln County, Idaho",201,3.86
438,"Lincoln County, Kansas",1333,41.13
166,"Lincoln County, Kentucky",13149,53.14
2194,"Lincoln County, Maine",1065,3.09
1566,"Lincoln County, Minnesota",811,13.76
53,"Lincoln County, Mississippi",22354,64.11
1629,"Lincoln County, Missouri",6705,12.76
1269,"Lincoln County, Montana",3750,19.05
1470,"Lincoln County, Nebraska",5574,15.36
2085,"Lincoln County, Nevada",287,5.37
1342,"Lincoln County, New Mexico",3611,17.62
749,"Lincoln County, North Carolina",24519,31.33
469,"Lincoln County, Oklahoma",13686,39.93
1861,"Lincoln County, Oregon",4303,9.35
1602,"Lincoln County, South Dakota",5901,13.16
192,"Lincoln County, Tennessee",17059,51.13
1771,"Lincoln County, Washington",1128,10.67
1728,"Lincoln County, West Virginia",2461,11.33
845,"Lincoln County, Wisconsin",8297,28.87
2089,"Lincoln County, Wyoming",964,5.32
747,"Lincoln Parish, Louisiana",14687,31.43
1563,"Linn County, Iowa",29184,13.82
1485,"Linn County, Kansas",1460,15.12
589,"Linn County, Missouri",4550,35.66
1550,"Linn County, Oregon",16383,14.04
530,"Lipscomb County, Texas",1245,37.70
2231,"Litchfield County, Connecticut",4483,2.36
261,"Little River County, Arkansas",6325,48.02
829,"Live Oak County, Texas",3380,29.31
1672,"Livingston County, Illinois",4724,12.13
272,"Livingston County, Kentucky",4519,47.47
1759,"Livingston County, Michigan",19679,10.87
329,"Livingston County, Missouri",6823,44.90
2012,"Livingston County, New York",4308,6.59
755,"Livingston Parish, Louisiana",39791,31.08
908,"Llano County, Texas",5270,27.30
46,"Logan County, Arkansas",14592,65.28
1846,"Logan County, Colorado",2186,9.63
949,"Logan County, Illinois",7947,26.22
487,"Logan County, Kansas",1084,39.33
131,"Logan County, Kentucky",14710,54.82
2285,"Logan County, Nebraska",,
1880,"Logan County, North Dakota",180,9.05
1639,"Logan County, Ohio",5785,12.62
1191,"Logan County, Oklahoma",8676,20.73
1446,"Logan County, West Virginia",5814,15.82
1213,"Long County, Georgia",2921,20.19
575,"Lonoke County, Arkansas",24578,35.96
1722,"Lorain County, Ohio",34366,11.40
1136,"Los Alamos County, New Mexico",3950,22.01
1920,"Los Angeles County, California",814611,8.30
186,"Loudon County, Tennessee",25099,51.69
2076,"Loudoun County, Virginia",17314,5.54
1956,"Louisa County, Iowa",880,7.73
1357,"Louisa County, Virginia",5773,17.41
1637,"Loup County, Nebraska",80,12.66
38,"Love County, Oklahoma",6386,67.77
1977,"Loving County, Texas",6,7.32
1159,"Lowndes County, Alabama",2439,21.59
584,"Lowndes County, Georgia",39086,35.78
338,"Lowndes County, Mississippi",26553,44.42
754,"Lubbock County, Texas",86949,31.18
1334,"Lucas County, Iowa",1581,17.77
1877,"Lucas County, Ohio",40272,9.12
1779,"Luce County, Michigan",700,10.56
1731,"Lumpkin County, Georgia",3386,11.30
1813,"Luna County, New Mexico",2539,10.12
1581,"Lunenburg County, Virginia",1746,13.52
2161,"Luzerne County, Pennsylvania",12502,3.90
1855,"Lycoming County, Pennsylvania",10967,9.45
2039,"Lyman County, South Dakota",233,6.21
51,"Lynchburg city, Virginia",48870,64.67
222,"Lynn County, Texas",2965,50.13
898,"Lyon County, Iowa",3193,27.57
1484,"Lyon County, Kansas",5098,15.13
202,"Lyon County, Kentucky",4209,50.63
1666,"Lyon County, Minnesota",3161,12.22
2047,"Lyon County, Nevada",3169,6.10
1761,"Mackinac County, Michigan",1206,10.85
1903,"Macomb County, Michigan",72383,8.61
1643,"Macon County, Alabama",2695,12.56
1348,"Macon County, Georgia",2585,17.54
1128,"Macon County, Illinois",24556,22.17
123,"Macon County, Missouri",8625,55.41
246,"Macon County, North Carolina",16486,48.60
1125,"Macon County, Tennessee",4942,22.21
1093,"Macoupin County, Illinois",10938,22.90
1825,"Madera County, California",15077,9.99
743,"Madison County, Alabama",105503,31.51
741,"Madison County, Arkansas",4958,31.55
838,"Madison County, Florida",5577,29.01
519,"Madison County, Georgia",10681,37.98
2278,"Madison County, Idaho",162,0.43
1133,"Madison County, Illinois",59455,22.08
1244,"Madison County, Indiana",25695,19.52
1704,"Madison County, Iowa",1830,11.67
839,"Madison County, Kentucky",24041,28.99
798,"Madison County, Mississippi",28607,30.05
636,"Madison County, Missouri",4205,34.39
2103,"Madison County, Montana",395,5.14
610,"Madison County, Nebraska",12203,34.99
2169,"Madison County, New York",2780,3.79
111,"Madison County, North Carolina",11765,56.66
1731,"Madison County, Ohio",4907,11.30
342,"Madison County, Tennessee",43569,44.33
632,"Madison County, Texas",4720,34.54
1380,"Madison County, Virginia",2264,17.01
966,"Madison Parish, Louisiana",3130,25.88
1082,"Magoffin County, Kentucky",3083,23.12
1321,"Mahaska County, Iowa",4039,18.05
2036,"Mahnomen County, Minnesota",340,6.28
1714,"Mahoning County, Ohio",27561,11.54
191,"Major County, Oklahoma",3855,51.22
1803,"Malheur County, Oregon",3208,10.24
1436,"Manassas city, Virginia",6051,16.00
1137,"Manassas Park city, Virginia",3138,21.99
1491,"Manatee County, Florida",48255,14.95
1798,"Manistee County, Michigan",2545,10.29
1372,"Manitowoc County, Wisconsin",13965,17.15
1340,"Marathon County, Wisconsin",23686,17.67
198,"Marengo County, Alabama",10671,50.75
1552,"Maricopa County, Arizona",534453,14.00
851,"Maries County, Missouri",2634,28.71
2182,"Marin County, California",8817,3.49
1495,"Marinette County, Wisconsin",6205,14.86
168,"Marion County, Alabama",16308,52.99
776,"Marion County, Arkansas",5093,30.58
1332,"Marion County, Florida",59057,17.83
1246,"Marion County, Georgia",1704,19.49
602,"Marion County, Illinois",13916,35.29
1441,"Marion County, Indiana",143339,15.87
1402,"Marion County, Iowa",5533,16.61
518,"Marion County, Kansas",4813,38.02
1080,"Marion County, Kentucky",4601,23.21
133,"Marion County, Mississippi",14840,54.78
574,"Marion County, Missouri",10356,35.98
1759,"Marion County, Ohio",7229,10.87
1502,"Marion County, Oregon",46619,14.78
1011,"Marion County, South Carolina",8160,24.68
891,"Marion County, Tennessee",7840,27.76
1067,"Marion County, Texas",2477,23.49
1578,"Marion County, West Virginia",7649,13.56
1738,"Mariposa County, California",2048,11.22
1319,"Marlboro County, South Carolina",5240,18.11
1923,"Marquette County, Michigan",5539,8.26
1116,"Marquette County, Wisconsin",3450,22.40
285,"Marshall County, Alabama",43707,46.99
1783,"Marshall County, Illinois",1328,10.51
1235,"Marshall County, Indiana",9281,19.73
1638,"Marshall County, Iowa",5137,12.64
1358,"Marshall County, Kansas",1760,17.40
287,"Marshall County, Kentucky",14757,46.93
1952,"Marshall County, Minnesota",736,7.80
791,"Marshall County, Mississippi",11233,30.24
441,"Marshall County, Oklahoma",6502,41.05
730,"Marshall County, South Dakota",1489,31.98
298,"Marshall County, Tennessee",14222,46.45
1925,"Marshall County, West Virginia",2722,8.22
1863,"Martin County, Florida",13636,9.32
1099,"Martin County, Indiana",2357,22.81
1252,"Martin County, Kentucky",2508,19.40
689,"Martin County, Minnesota",6869,32.96
634,"Martin County, North Carolina",8445,34.46
643,"Martin County, Texas",1641,34.19
233,"Martinsville city, Virginia",6850,49.56
1169,"Mason County, Illinois",3134,21.37
904,"Mason County, Kentucky",4790,27.39
1506,"Mason County, Michigan",4223,14.71
824,"Mason County, Texas",1180,29.41
2079,"Mason County, Washington",3327,5.48
2002,"Mason County, West Virginia",1849,6.77
224,"Massac County, Illinois",7724,50.06
931,"Matagorda County, Texas",9799,26.70
1384,"Matanuska-Susitna Borough, Alaska",15076,16.94
888,"Mathews County, Virginia",2495,27.79
1798,"Maui County, Hawaii",15928,10.29
782,"Maury County, Tennessee",24645,30.44
1975,"Maverick County, Texas",4001,7.37
466,"Mayes County, Oklahoma",16552,40.12
458,"McClain County, Oklahoma",13905,40.30
1984,"McCone County, Montana",125,7.21
1527,"McCook County, South Dakota",806,14.35
1621,"McCormick County, South Carolina",1317,12.87
136,"McCracken County, Kentucky",35847,54.67
1326,"McCreary County, Kentucky",3287,17.96
724,"McCulloch County, Texas",2657,32.08
370,"McCurtain County, Oklahoma",14352,43.29
1056,"McDonald County, Missouri",5477,23.73
1619,"McDonough County, Illinois",4210,12.91
622,"McDowell County, North Carolina",15654,34.79
1696,"McDowell County, West Virginia",2604,11.78
451,"McDuffie County, Georgia",8887,40.63
1982,"McHenry County, Illinois",22386,7.25
1868,"McHenry County, North Dakota",498,9.23
1412,"McIntosh County, Georgia",2358,16.45
1019,"McIntosh County, North Dakota",688,24.49
565,"McIntosh County, Oklahoma",7348,36.28
1709,"McKean County, Pennsylvania",5050,11.62
1739,"McKenzie County, North Dakota",712,11.19
1672,"McKinley County, New Mexico",8675,12.13
1213,"McLean County, Illinois",34238,20.19
208,"McLean County, Kentucky",4813,50.50
1042,"McLean County, North Dakota",2152,24.01
612,"McLennan County, Texas",82151,34.97
244,"McLeod County, Minnesota",17831,48.65
75,"McMinn County, Tennessee",31806,60.85
790,"McMullen County, Texas",214,30.27
293,"McNairy County, Tennessee",12201,46.79
706,"McPherson County, Kansas",9497,32.55
1742,"McPherson County, Nebraska",60,11.13
1275,"McPherson County, South Dakota",466,18.95
758,"Meade County, Kansas",1420,31.04
548,"Meade County, Kentucky",10566,36.94
1964,"Meade County, South Dakota",1925,7.57
2075,"Meagher County, Montana",105,5.55
1125,"Mecklenburg County, North Carolina",204287,22.21
723,"Mecklenburg County, Virginia",10502,32.09
1637,"Mecosta County, Michigan",5420,12.66
1766,"Medina County, Ohio",18538,10.76
1501,"Medina County, Texas",6803,14.79
1653,"Meeker County, Minnesota",2889,12.40
1412,"Meigs County, Ohio",3909,16.45
287,"Meigs County, Tennessee",5516,46.93
1830,"Mellette County, South Dakota",202,9.86
1049,"Menard County, Illinois",3034,23.88
1439,"Menard County, Texas",357,15.92
2072,"Mendocino County, California",4912,5.59
1737,"Menifee County, Kentucky",708,11.23
1820,"Menominee County, Michigan",2416,10.05
2188,"Menominee County, Wisconsin",142,3.36
1791,"Merced County, California",26640,10.41
2059,"Mercer County, Illinois",968,5.89
57,"Mercer County, Kentucky",13549,63.52
113,"Mercer County, Missouri",2138,56.49
2122,"Mercer County, New Jersey",17274,4.71
404,"Mercer County, North Dakota",3556,42.21
1922,"Mercer County, Ohio",3375,8.27
1696,"Mercer County, Pennsylvania",13739,11.78
906,"Mercer County, West Virginia",17020,27.34
847,"Meriwether County, Georgia",6338,28.82
1576,"Merrick County, Nebraska",1069,13.63
2179,"Merrimack County, New Hampshire",5195,3.55
1378,"Mesa County, Colorado",25054,17.08
100,"Metcalfe County, Kentucky",5797,57.40
1393,"Miami County, Indiana",6182,16.75
1415,"Miami County, Kansas",5378,16.40
1755,"Miami County, Ohio",11232,10.96
1757,"Miami-Dade County, Florida",271814,10.89
2228,"Middlesex County, Connecticut",3978,2.40
2214,"Middlesex County, Massachusetts",41270,2.75
2176,"Middlesex County, New Jersey",29296,3.62
1342,"Middlesex County, Virginia",1931,17.62
1339,"Midland County, Michigan",14804,17.70
598,"Midland County, Texas",48581,35.49
1063,"Mifflin County, Pennsylvania",11010,23.59
