"Ranking","County","Adherents","Percent"
1668,"Carson City, Nevada",6728,12.17
165,"Carson County, Texas",3289,53.20
1109,"Carter County, Kentucky",6269,22.62
784,"Carter County, Missouri",1905,30.41
1420,"Carter County, Montana",189,16.29
263,"Carter County, Oklahoma",22807,47.96
378,"Carter County, Tennessee",24745,43.09
1047,"Carteret County, North Carolina",15896,23.91
1514,"Carver County, Minnesota",13244,14.55
1583,"Cascade County, Montana",10968,13.49
637,"Casey County, Kentucky",5470,34.28
1057,"Cass County, Illinois",3235,23.71
1347,"Cass County, Indiana",6839,17.55
1376,"Cass County, Iowa",2388,17.11
2093,"Cass County, Michigan",2750,5.26
1779,"Cass County, Minnesota",3017,10.56
1089,"Cass County, Missouri",22842,22.96
1970,"Cass County, Nebraska",1886,7.47
1852,"Cass County, North Dakota",14318,9.56
88,"Cass County, Texas",17887,58.72
1940,"Cassia County, Idaho",1835,7.99
714,"Castro County, Texas",2605,32.31
1341,"Caswell County, North Carolina",4181,17.63
193,"Catahoula Parish, Louisiana",5313,51.05
658,"Catawba County, North Carolina",52233,33.84
1004,"Catoosa County, Georgia",15950,24.94
1845,"Catron County, New Mexico",359,9.64
1902,"Cattaraugus County, New York",6923,8.62
2093,"Cavalier County, North Dakota",210,5.26
2177,"Cayuga County, New York",2886,3.61
1695,"Cecil County, Maryland",11922,11.79
2087,"Cedar County, Iowa",987,5.34
626,"Cedar County, Missouri",4851,34.69
2186,"Cedar County, Nebraska",302,3.41
1964,"Centre County, Pennsylvania",11664,7.57
1461,"Cerro Gordo County, Iowa",6871,15.56
1036,"Chaffee County, Colorado",4290,24.09
529,"Chambers County, Alabama",12903,37.71
1644,"Chambers County, Texas",4405,12.55
1537,"Champaign County, Illinois",28618,14.23
1793,"Champaign County, Ohio",4159,10.37
769,"Chariton County, Missouri",2405,30.71
733,"Charles City County, Virginia",2312,31.86
1648,"Charles County, Maryland",18323,12.50
1296,"Charles Mix County, South Dakota",1690,18.51
1129,"Charleston County, South Carolina",77602,22.16
1926,"Charlevoix County, Michigan",2126,8.19
1850,"Charlotte County, Florida",15324,9.58
786,"Charlotte County, Virginia",3818,30.34
946,"Charlottesville city, Virginia",11453,26.34
1110,"Charlton County, Georgia",2750,22.59
1095,"Chase County, Kansas",638,22.87
662,"Chase County, Nebraska",1334,33.64
1008,"Chatham County, Georgia",65804,24.82
1021,"Chatham County, North Carolina",15535,24.46
2189,"Chattahoochee County, Georgia",373,3.31
455,"Chattooga County, Georgia",10540,40.52
1509,"Chautauqua County, Kansas",538,14.66
1921,"Chautauqua County, New York",11175,8.28
963,"Chaves County, New Mexico",17026,25.94
931,"Cheatham County, Tennessee",10441,26.70
1910,"Cheboygan County, Michigan",2223,8.50
1286,"Chelan County, Washington",13576,18.74
2033,"Chemung County, New York",5604,6.31
2193,"Chenango County, New York",1563,3.10
413,"Cherokee County, Alabama",10865,41.81
872,"Cherokee County, Georgia",60308,28.14
1328,"Cherokee County, Iowa",2163,17.92
938,"Cherokee County, Kansas",5739,26.57
680,"Cherokee County, North Carolina",9146,33.33
1002,"Cherokee County, Oklahoma",11733,24.97
221,"Cherokee County, South Carolina",27748,50.14
685,"Cherokee County, Texas",16878,33.20
1336,"Cherry County, Nebraska",1014,17.75
1231,"Chesapeake city, Virginia",43920,19.77
2110,"Cheshire County, New Hampshire",3881,5.03
2032,"Chester County, Pennsylvania",31520,6.32
799,"Chester County, South Carolina",9955,30.04
470,"Chester County, Tennessee",6837,39.91
814,"Chesterfield County, South Carolina",13846,29.63
1405,"Chesterfield County, Virginia",52345,16.55
895,"Cheyenne County, Colorado",508,27.67
1911,"Cheyenne County, Kansas",230,8.44
1499,"Cheyenne County, Nebraska",1481,14.81
1923,"Chickasaw County, Iowa",1028,8.26
24,"Chickasaw County, Mississippi",12701,73.03
578,"Chicot County, Arkansas",4240,35.93
974,"Childress County, Texas",1809,25.69
74,"Chilton County, Alabama",26608,60.97
1948,"Chippewa County, Michigan",3026,7.86
1752,"Chippewa County, Minnesota",1367,10.99
1816,"Chippewa County, Wisconsin",6296,10.09
1611,"Chisago County, Minnesota",7028,13.04
2078,"Chittenden County, Vermont",8638,5.52
354,"Choctaw County, Alabama",6080,43.87
311,"Choctaw County, Mississippi",3919,45.85
3,"Choctaw County, Oklahoma",15020,98.78
1877,"Chouteau County, Montana",530,9.12
919,"Chowan County, North Carolina",3993,26.99
1369,"Christian County, Illinois",6004,17.25
538,"Christian County, Kentucky",27647,37.38
230,"Christian County, Missouri",38609,49.87
1681,"Churchill County, Nevada",2985,12.00
1815,"Cibola County, New Mexico",2749,10.10
144,"Cimarron County, Oklahoma",1343,54.26
1520,"Citrus County, Florida",20465,14.49
1595,"Clackamas County, Oregon",49829,13.25
1960,"Claiborne County, Mississippi",735,7.65
114,"Claiborne County, Tennessee",18142,56.32
